@RELATION code_smells

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE dit NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalMethodsQty NUMERIC
@ATTRIBUTE totalFieldsQty NUMERIC
@ATTRIBUTE is_blob_class {yes,no}
@ATTRIBUTE is_spaghetti_code {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}

@DATA
21,9,6,28,3,1,2,8,1,no,no,no
48,17,4,66,8,3,0,12,1,no,no,no
23,4,1,0,0,5,0,4,5,no,no,no
18,5,3,10,2,3,0,5,1,no,no,no
1394,365,49,62,167,3,2,45,51,yes,yes,no
121,6,5,6,2,2,0,4,0,no,no,no
28,6,5,6,5,4,2,4,5,no,no,no
173,28,18,15,25,2,2,6,1,no,no,no
49,1,0,0,0,1,0,1,46,no,no,no
512,162,24,307,76,4,3,43,3,yes,no,yes
157,41,12,752,3,1,0,40,3,no,no,no
387,130,6,47,12,2,0,14,8,no,no,no
42,9,0,0,7,1,0,1,0,no,no,no
38,12,3,66,0,3,1,12,0,no,no,no
64,7,2,0,1,1,0,3,20,no,no,no
10,2,1,0,0,1,0,2,2,no,no,no
345,99,16,30,33,1,0,13,15,no,no,no
747,90,2,154,8,1,0,21,9,no,no,no
223,58,38,285,69,1,0,27,11,no,no,no
24,7,3,21,3,3,0,7,1,no,no,no
237,75,28,13,52,2,0,6,2,no,no,no
230,13,8,3,11,2,0,7,3,no,no,no
20,18,8,153,0,1,0,18,0,no,no,no
36,14,3,0,2,1,0,5,2,no,no,no
98,34,6,4,10,1,0,4,3,no,no,no
19,9,3,10,3,3,0,5,0,no,no,no
10,2,1,0,0,2,0,2,1,no,no,no
5,3,0,3,0,1,0,3,0,no,no,no
101,27,5,138,12,1,0,21,10,no,no,no
68,16,7,63,1,1,0,14,12,no,no,no
20,18,1,153,0,1,0,18,0,no,no,no
24,7,2,0,6,2,0,5,1,no,no,no
34,9,3,3,2,2,0,6,1,no,no,no
6,1,4,0,0,3,0,1,1,no,no,no
280,80,22,205,44,3,0,22,34,no,no,no
13,9,0,36,1,1,0,9,2,no,no,no
21,1,0,0,1,1,0,1,17,no,no,no
55,14,4,0,8,2,0,10,5,no,no,no
27,11,1,0,2,1,0,3,3,no,no,no
13,3,4,1,4,2,0,2,0,no,no,no
3,1,3,0,0,1,0,1,0,no,no,no
73,21,2,116,1,1,0,21,3,no,no,no
143,38,8,0,19,1,0,1,0,no,no,no
860,185,28,226,90,2,1,33,47,yes,no,no
9,7,3,21,0,1,0,7,0,no,no,no
18,5,4,1,4,2,0,2,0,no,no,no
1393,334,37,3793,76,1,0,99,75,yes,no,no
30,9,3,36,2,3,0,9,1,no,no,no
17,12,4,1,4,4,0,2,0,no,no,no
20,6,1,15,0,1,0,6,0,no,no,no
20,4,6,0,13,1,0,1,0,no,no,no
27,4,10,0,4,2,1,3,1,no,no,no
7,2,3,0,2,1,0,1,0,no,no,no
65,13,2,15,6,1,0,10,18,no,no,no
3,1,2,0,0,1,0,1,0,no,no,no
93,18,11,0,17,1,0,4,12,no,no,no
587,169,36,21,72,1,8,11,14,yes,no,yes
74,20,11,52,2,1,2,16,11,no,no,no
10,5,4,10,0,1,0,5,3,no,no,no
11,5,1,10,0,1,0,5,4,no,no,no
25,4,5,0,8,5,0,4,2,no,no,no
83,23,1,3,7,1,0,10,4,no,no,no
92,34,4,0,14,1,0,22,1,no,no,no
28,7,2,9,3,2,0,7,1,no,no,no
42,15,3,55,4,5,35,11,1,no,no,no
96,24,14,66,27,5,0,13,6,no,no,no
18,3,2,0,1,1,0,2,6,no,no,no
97,33,10,32,18,2,0,16,3,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
114,38,6,703,0,1,1,38,0,no,no,no
967,171,22,31,57,1,0,11,103,yes,no,no
64,17,4,17,9,1,0,11,9,no,no,no
24,4,10,1,7,3,0,2,0,no,no,no
33,8,3,1,3,2,0,7,2,no,no,no
102,11,1,45,5,1,0,10,1,no,no,no
11,2,0,0,0,3,0,2,2,no,no,no
1021,311,60,452,147,1,0,32,24,yes,yes,no
73,0,0,0,0,1,0,0,71,no,no,no
243,66,24,89,35,3,0,15,32,no,no,no
118,34,2,0,19,1,0,8,6,no,no,no
12,3,3,3,4,3,0,3,1,no,no,no
23,9,2,10,5,2,0,5,1,no,no,no
997,284,33,1041,89,1,3,62,20,yes,no,yes
4,2,1,1,0,1,0,2,0,no,no,no
126,29,11,11,23,1,0,10,5,no,no,no
17,2,2,0,4,1,0,2,3,no,no,no
74,19,10,9,18,1,0,7,1,no,no,no
102,34,10,67,15,1,0,14,4,no,no,no
18,4,4,0,5,5,0,3,2,no,no,no
62,16,3,0,8,1,0,6,4,no,no,no
22,5,0,0,0,1,0,5,4,no,no,no
101,19,8,1,8,2,0,3,5,no,no,no
458,146,3,9,23,2,0,18,8,no,no,no
42,13,3,78,2,3,0,13,1,no,no,no
18,5,4,10,2,6,0,5,1,no,no,no
209,39,10,0,1,9,12,23,24,no,no,no
5,3,3,3,0,1,0,3,0,no,no,no
1936,834,17,1120,114,1,0,52,33,yes,yes,no
45,12,8,4,14,1,0,5,1,no,no,no
29,9,4,3,8,2,0,6,1,no,no,no
6,2,2,1,0,1,0,2,0,no,no,no
274,79,14,166,45,4,0,25,9,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
91,19,2,0,13,5,0,10,8,no,no,no
2,0,1,0,0,1,0,0,0,no,no,no
1064,416,4,1183,61,4,0,58,25,no,no,no
18,5,4,10,2,6,0,5,1,no,no,no
42,9,0,0,7,1,0,1,0,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
236,64,18,67,47,1,0,19,11,no,no,no
107,39,9,253,20,2,52,23,1,no,no,no
15,2,2,0,4,1,0,2,3,no,no,no
30,7,7,2,6,4,1,5,3,no,no,no
71,14,10,3,16,2,0,3,0,no,no,no
11,2,1,0,0,1,0,2,2,no,no,no
465,170,11,1081,46,1,0,47,0,no,no,no
13,2,1,1,0,3,0,2,3,no,no,no
13,7,5,0,2,2,0,1,0,no,no,no
125,35,12,32,26,4,1,9,3,no,no,no
72,23,4,253,2,6,0,23,1,no,no,no
17,3,4,0,3,6,0,3,2,no,no,no
85,21,9,42,12,1,0,12,17,no,no,no
584,168,6,8,12,1,0,5,24,yes,no,no
26,7,0,0,2,1,0,4,3,no,no,no
67,10,9,0,20,5,0,4,2,no,no,no
44,9,5,6,12,3,0,4,0,no,no,no
12,3,3,3,2,3,0,3,1,no,no,no
169,8,3,0,8,3,0,6,1,no,no,no
2,0,0,0,0,1,0,0,0,no,no,no
51,14,6,6,13,3,0,4,0,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
13,1,1,0,0,2,0,1,4,no,no,no
11,2,0,0,0,3,0,2,2,no,no,no
98,33,4,0,16,2,0,5,2,no,no,no
12,8,1,28,0,1,0,8,2,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
12,2,0,0,2,1,0,1,0,no,no,no
5,1,0,0,0,1,0,1,0,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
1592,380,62,499,176,1,0,43,104,yes,yes,no
11,3,0,0,1,1,0,1,0,no,no,no
11,2,0,0,1,1,0,1,0,no,no,no
11,2,0,0,2,1,0,1,0,no,no,no
12,2,11,1,2,3,0,2,1,no,no,no
5,3,3,3,0,1,0,3,0,no,no,no
8,2,1,1,0,1,0,2,0,no,no,no
6,2,2,1,0,1,0,2,0,no,no,no
3,1,2,0,0,1,0,1,0,no,no,no
642,218,4,704,91,2,0,48,14,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
32,9,1,28,0,1,0,9,4,no,no,no
158,19,22,171,17,2,0,19,0,no,no,no
30,8,2,3,5,1,0,7,3,no,no,no
12,3,1,1,0,2,0,3,1,no,no,no
12,3,3,3,3,3,0,3,1,no,no,no
15,3,1,0,0,3,0,3,2,no,no,no
84,27,3,351,4,3,0,27,1,no,no,no
22,6,7,10,3,3,0,5,2,no,no,no
10,2,4,0,0,3,0,1,0,no,no,no
1986,814,61,2054,91,1,0,85,109,yes,no,no
29,8,1,0,4,1,0,1,3,no,no,no
182,13,2,1,6,1,0,7,130,no,no,no
53,13,1,0,7,1,0,1,6,no,no,no
11,2,0,0,0,3,0,2,2,no,no,no
12,2,1,1,0,1,0,2,3,no,no,no
22,9,4,10,4,3,0,5,1,no,no,no
64,23,2,18,5,2,0,8,4,no,no,no
46,17,3,78,7,3,0,13,1,no,no,no
6,4,1,6,0,1,0,4,0,no,no,no
136,23,2,3,4,1,0,6,8,no,no,no
83,28,3,0,0,1,0,2,4,no,no,no
9,7,6,21,0,1,0,7,0,no,no,no
163,54,7,6,14,1,0,13,8,no,no,no
915,262,45,920,102,3,1,52,30,yes,yes,no
1187,40,11,18,23,1,4,9,6,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
255,58,3,9,30,3,0,7,5,no,no,no
88,28,6,54,22,1,0,12,3,no,no,no
9,4,3,6,0,1,0,4,3,no,no,no
11,9,0,36,0,1,0,9,0,no,no,no
259,86,7,1153,25,1,0,50,20,no,no,no
101,29,5,0,7,2,1,13,2,no,no,no
54,11,2,7,0,1,0,11,6,no,no,no
2,0,1,0,0,1,0,0,0,no,no,no
9,7,1,21,0,1,0,7,0,no,no,no
30,9,4,36,2,6,0,9,1,no,no,no
120,3,1,1,2,1,0,2,1,no,no,no
159,51,8,138,6,4,0,25,9,no,no,no
541,157,15,771,70,2,2,46,6,yes,no,no
4,2,2,1,0,1,0,2,0,no,no,no
275,93,7,24,29,1,1,29,7,no,no,no
93,5,7,0,1,3,0,5,2,no,no,no
2,0,1,0,0,1,0,0,0,no,no,no
20,12,4,66,0,1,0,12,6,no,no,no
14,3,3,0,0,2,0,3,1,no,no,no
7,3,3,1,1,1,0,2,0,no,no,no
11,3,0,3,0,1,0,3,0,no,no,no
1181,327,23,449,119,2,1,43,33,yes,yes,no
9,3,4,1,1,1,1,2,0,no,no,no
7,2,1,1,0,1,0,2,3,no,no,no
291,91,13,66,24,3,0,12,9,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
94,22,10,144,17,6,0,21,16,no,no,no
21,8,4,3,1,2,0,3,0,no,no,no
72,21,1,2,11,1,0,5,7,no,no,no
12,2,0,0,2,1,0,1,0,no,no,no
12,3,3,3,3,3,0,3,1,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
24,7,4,21,2,6,0,7,1,no,no,no
11,2,0,0,2,1,0,1,0,no,no,no
11,2,0,0,1,1,0,1,0,no,no,no
9,7,1,21,0,1,0,7,0,no,no,no
11,3,0,0,1,1,0,1,0,no,no,no
177,48,19,17,31,2,0,14,23,no,no,no
86,21,1,110,0,1,0,21,8,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
5,1,0,0,0,1,0,1,0,no,no,no
22,9,3,10,4,3,0,5,1,no,no,no
30,9,4,36,2,6,0,9,1,no,no,no
60,19,2,1,2,1,0,2,4,no,no,no
3,1,0,0,0,1,0,1,0,no,no,no
3,1,1,0,0,1,0,1,0,no,no,no
1119,301,3,999,105,2,0,67,43,no,yes,no
6,0,0,0,0,1,0,0,4,no,no,no
38,8,5,6,11,3,0,4,0,no,no,no
193,63,14,183,33,1,0,22,6,no,no,no
16,14,1,91,0,1,0,14,0,no,no,no
203,67,5,4,16,1,0,5,3,no,no,no
6,4,3,6,0,1,0,4,0,no,no,no
199,79,11,165,27,4,1,22,10,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
159,41,13,191,25,2,3,22,15,no,no,yes
30,9,3,36,3,3,0,9,1,no,no,no
66,15,4,12,9,1,0,9,8,no,no,no
115,32,3,8,12,2,0,9,5,no,no,no
42,13,4,78,2,6,0,13,1,no,no,no
59,12,11,66,0,2,0,12,0,no,no,no
29,8,1,0,4,1,0,1,3,no,no,no
104,28,2,51,5,1,3,18,5,no,no,no
43,9,0,0,7,1,0,1,1,no,no,no
8,2,2,1,0,2,0,2,0,no,no,no
5,0,1,0,0,1,0,0,3,no,no,no
5,3,3,3,0,1,0,3,0,no,no,no
6,0,0,0,0,1,0,0,4,no,no,no
11,1,3,0,0,1,0,1,6,no,no,no
67,22,6,231,0,3,1,22,0,no,no,no
15,10,3,45,0,1,0,10,3,no,no,no
38,9,1,24,0,2,4,9,6,no,no,no
240,44,28,4,34,3,0,12,10,no,no,no
12,3,3,3,3,3,0,3,1,no,no,no
99,13,14,15,22,3,0,7,8,no,no,no
6,1,1,0,0,2,0,1,0,no,no,no
127,29,12,44,20,1,0,17,14,no,no,no
60,3,4,3,1,2,0,3,0,no,no,no
13,3,4,1,4,2,0,2,0,no,no,no
32,8,3,4,4,1,0,8,3,no,no,no
9,5,3,10,0,1,0,5,2,no,no,no
8,6,2,15,0,1,0,6,0,no,no,no
11,2,0,0,0,3,0,2,2,no,no,no
673,61,24,75,38,4,2,14,34,yes,no,no
5,3,2,3,0,1,0,3,0,no,no,no
3,1,0,0,0,1,0,1,0,no,no,no
41,19,4,171,0,1,0,19,20,no,no,no
8,2,2,1,0,2,0,2,0,no,no,no
24,7,3,21,5,3,0,7,1,no,no,no
153,37,5,9,11,1,3,14,5,no,no,no
63,29,10,406,0,3,0,29,1,no,no,no
27,8,2,1,2,2,0,6,4,no,no,no
36,11,4,55,2,6,0,11,1,no,no,no
87,22,10,0,16,1,1,22,3,no,no,no
81,21,4,4,20,2,0,12,2,no,no,no
35,6,6,0,11,5,0,4,2,no,no,no
3,1,2,0,0,1,0,1,0,no,no,no
163,85,2,22,20,1,0,12,8,no,no,no
60,19,11,4,14,2,0,5,2,no,no,no
26,8,9,6,6,2,0,4,1,no,no,no
17,4,5,6,2,3,0,4,0,no,no,no
18,11,2,55,0,1,0,11,5,no,no,no
12,3,2,1,0,3,0,3,1,no,no,no
30,8,3,0,3,1,0,4,2,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
12,3,3,3,2,3,0,3,1,no,no,no
58,10,1,0,2,1,0,2,3,no,no,no
33,8,5,1,8,2,0,2,0,no,no,no
99,39,3,0,7,1,0,6,2,no,no,no
60,20,4,30,7,1,0,12,2,no,no,no
5,3,3,3,0,1,0,3,0,no,no,no
688,256,30,41,80,1,0,18,19,yes,no,no
29,10,5,45,0,3,0,10,2,no,no,no
22,4,3,0,4,2,0,1,2,no,no,no
711,160,34,101,76,5,0,18,19,yes,no,no
43,9,12,1,9,3,0,2,0,no,no,no
295,109,23,37,49,2,0,10,2,no,no,no
468,144,12,349,58,3,7,34,4,no,no,yes
82,16,18,91,8,2,0,14,0,no,no,no
23,9,2,10,5,2,0,5,1,no,no,no
76,32,11,0,15,1,0,10,6,no,no,no
6,1,1,0,0,1,0,1,2,no,no,no
20,5,2,0,1,2,0,4,3,no,no,no
81,23,3,19,9,1,4,10,6,no,no,no
305,93,11,171,39,4,2,19,1,no,no,no
41,10,1,0,0,2,0,4,5,no,no,no
31,11,5,32,4,3,0,9,4,no,no,no
720,268,24,435,72,1,0,30,2,yes,no,no
4,2,1,1,0,1,0,2,0,no,no,no
961,362,11,686,95,1,1,49,39,yes,no,no
12,4,3,6,0,1,0,4,6,no,no,no
